city,state_code,total,total_user,total_p,virus,user_virus,virus_p,virus_rel_p,user_virus_p
New Orleans,LA,217279,13451,16.153371496543,464,306,1.51633986928105,0.213550320095361,2.27492379748718
Orlando,FL,107331,12863,8.34416543574594,455,267,1.70411985018727,0.423922259179547,2.07572106040582
Charlotte,NC,201415,12244,16.4500980071872,678,384,1.765625,0.336618424645632,3.13622999019928
Seattle,WA,175677,11804,14.8828363266689,2317,999,2.31931931931932,1.31889774984773,8.46323280243985
LaSalle,IL,133553,11677,11.4372698467072,755,321,2.35202492211838,0.565318637544645,2.74899374839428
Indianapolis,IN,158551,10231,15.4971166063923,565,340,1.66176470588235,0.356352214744782,3.32323331052683
Columbus,OH,161177,10111,15.9407575907428,666,359,1.85515320334262,0.413210321571936,3.55058846800514
Depoe Bay,OR,123246,9878,12.4768171694675,770,397,1.93954659949622,0.624766726709183,4.01903219275157
Fort Worth,TX,121155,9147,13.2453263365038,399,231,1.72727272727273,0.329330196855268,2.52541816989177
Anaheim,CA,65962,9118,7.23426189953937,218,144,1.51388888888889,0.330493314332494,1.57929370475982
Portland,OR,162371,8828,18.3927276846398,937,436,2.14908256880734,0.577073492187644,4.93883099229724
Bronx,NY,170206,8570,19.8606767794632,609,357,1.70588235294118,0.357801722618474,4.1656942823804
Tampa,FL,87583,8556,10.2364422627396,467,269,1.7360594795539,0.533208499366315,3.1439925198691
Miami Heights,OH,44017,7796,5.646100564392,262,153,1.71241830065359,0.595224572324329,1.96254489481786
San Joaquin,CA,110127,7745,14.2191091026469,686,353,1.94334277620397,0.622917177440591,4.55777921239509
Raleigh,NC,100856,7538,13.3796763067127,439,235,1.86808510638298,0.43527405409693,3.11753780843725
Kansas City,MO,90223,7376,12.2319685466377,344,175,1.96571428571429,0.381277501302329,2.37255965292842
Baltimore,MD,135280,7362,18.3754414561261,544,287,1.89547038327526,0.402128917800118,3.89839717468079
Long Beach,CA,98447,7327,13.4361948955916,472,239,1.97489539748954,0.479445793167898,3.26190801146445
Oakland,MI,95002,7283,13.0443498558286,503,273,1.84249084249084,0.529462537630787,3.74845530687903
Minnehaha,WA,88455,6726,13.1512042818912,439,229,1.91703056768559,0.496297552427788,3.40469818614332
Arlington,VA,58810,6518,9.02270635164161,452,228,1.98245614035088,0.768576772657711,3.49800552316662
Sacramento,CA,84873,6284,13.5062062380649,460,238,1.9327731092437,0.541986261826494,3.78739656269892
Devola,OH,97508,6215,15.6891391794047,241,134,1.79850746268657,0.247159207449645,2.15607401448109
Memphis,TN,105067,5764,18.2281401804303,322,172,1.87209302325581,0.306471108911456,2.98403886190146
Cleveland,OH,91584,5730,15.9832460732984,385,149,2.58389261744966,0.420379105520615,2.60034904013962
Tempe,AZ,61013,5679,10.7436168339496,273,158,1.72784810126582,0.447445626341927,2.78217996126079
Arlington,TX,64367,5598,11.4982136477313,168,114,1.47368421052632,0.261003309149098,2.03644158628081
Oklahoma,PA,87773,5562,15.7808342322905,331,176,1.88068181818182,0.377109133788295,3.16432937792161
Santa Monica,CA,32737,5485,5.96845943482224,261,139,1.87769784172662,0.797263035708831,2.53418413855971
Fort Lauderdale,FL,61305,5441,11.2672302885499,510,144,3.54166666666667,0.831906043552728,2.64657232126447
Honolulu,HI,60596,5421,11.1780114370042,357,217,1.64516129032258,0.589147798534557,4.00295148496587
Newark,NJ,50122,5384,9.3094353640416,166,104,1.59615384615385,0.331191891784047,1.93164933135215
Pittsburgh,PA,76474,5382,14.2092159048681,405,197,2.05583756345178,0.529591756675471,3.66034931252323
Scottsdale,AZ,41103,5300,7.75528301886792,239,149,1.60402684563758,0.581466073036031,2.81132075471698
West Hollywood,CA,34406,5078,6.77550216620717,235,111,2.11711711711712,0.683020403418009,2.18589996061442
Burbank,CA,37929,5018,7.55858907931447,168,117,1.43589743589744,0.442932848216404,2.33160621761658
St Louis,MO,66262,4857,13.6425777228742,227,129,1.75968992248062,0.342579457305846,2.65596046942557
El Paso,TX,90113,4830,18.6569358178054,321,168,1.91071428571429,0.356219413403172,3.47826086956522
Grapevine,TX,18341,4763,3.85072433340332,93,75,1.24,0.507060683714083,1.57463783329834
Milwaukie,OR,71936,4581,15.7031215891727,229,140,1.63571428571429,0.318338523131673,3.0561012879284
Louisville,KY,59509,4529,13.1395451534555,230,118,1.94915254237288,0.386496160244669,2.60543166261868
